,graph_i,mec_size,n_nodes,n_types,prob_inter,prob_intra,runtime,tmec_size,unoriented_tedges
309,30,1440,100,10,0.2,0.3,3.9075467586517334,2,0
310,31,4,10,10,0.2,0.3,0.007673501968383789,4,2
311,31,20,20,10,0.2,0.3,0.2287745475769043,20,2
312,31,16,30,10,0.2,0.3,0.22996759414672852,8,2
313,31,15,40,10,0.2,0.3,0.33184123039245605,4,1
314,31,24,50,10,0.2,0.3,0.9765784740447998,6,1
315,31,36,60,10,0.2,0.3,1.9492547512054443,8,0
316,31,168,70,10,0.2,0.3,5.501030683517456,16,0
317,31,96,80,10,0.2,0.3,1.4526619911193848,2,0
318,31,10,90,10,0.2,0.3,1.2974731922149658,1,0
319,31,80,100,10,0.2,0.3,6.354573965072632,6,0
320,32,2,10,10,0.2,0.3,0.0044231414794921875,2,1
321,32,16,20,10,0.2,0.3,0.07808852195739746,8,2
322,32,12,30,10,0.2,0.3,0.18624615669250488,6,1
323,32,64,40,10,0.2,0.3,0.8397030830383301,12,2
324,32,96,50,10,0.2,0.3,0.7460558414459229,4,2
325,32,20,60,10,0.2,0.3,0.42812132835388184,1,0
326,32,48,70,10,0.2,0.3,0.995959997177124,2,0
327,32,48,80,10,0.2,0.3,6.008756399154663,12,0
328,32,80,90,10,0.2,0.3,5.8826904296875,8,0
329,32,64,100,10,0.2,0.3,11.4996337890625,12,0
330,33,24,10,10,0.2,0.3,0.0807197093963623,24,6
331,33,32,20,10,0.2,0.3,0.28155064582824707,32,4
332,33,72,30,10,0.2,0.3,0.500077486038208,16,3
333,33,12,40,10,0.2,0.3,0.20589113235473633,2,0
334,33,144,50,10,0.2,0.3,1.6464102268218994,12,0
335,33,120,60,10,0.2,0.3,1.0947914123535156,4,0
336,33,16,70,10,0.2,0.3,0.9861423969268799,2,0
337,33,54,80,10,0.2,0.3,6.10615086555481,12,0
338,33,60,90,10,0.2,0.3,3.307044506072998,4,0
339,33,36,100,10,0.2,0.3,4.58618950843811,4,0
340,34,8,10,10,0.2,0.3,0.015465259552001953,8,3
341,34,15,20,10,0.2,0.3,0.06470632553100586,6,1
342,34,60,30,10,0.2,0.3,0.1393897533416748,4,0
343,34,8,40,10,0.2,0.3,0.27014636993408203,3,0
344,34,72,50,10,0.2,0.3,0.6243586540222168,4,0
345,34,72,60,10,0.2,0.3,3.575819730758667,16,1
346,34,216,70,10,0.2,0.3,2.332221508026123,6,0
347,34,112,80,10,0.2,0.3,1.9871222972869873,3,0
348,34,96,90,10,0.2,0.3,1.334634780883789,1,0
349,34,24,100,10,0.2,0.3,4.512496471405029,4,0
350,35,8,10,10,0.2,0.3,0.014017820358276367,8,3
351,35,6,20,10,0.2,0.3,0.026935100555419922,2,0
352,35,80,30,10,0.2,0.3,0.3726375102996826,12,0
353,35,16,40,10,0.2,0.3,0.19744062423706055,2,0
354,35,60,50,10,0.2,0.3,0.40027475357055664,2,0
355,35,76,60,10,0.2,0.3,1.079782485961914,4,0
356,35,112,70,10,0.2,0.3,8.207937717437744,24,0
357,35,192,80,10,0.2,0.3,3.457737922668457,6,1
358,35,16,90,10,0.2,0.3,1.9854366779327393,2,0
359,35,112,100,10,0.2,0.3,4.557071924209595,4,0
360,36,4,10,10,0.2,0.3,0.007866859436035156,4,2
361,36,4,20,10,0.2,0.3,0.02594733238220215,2,0
362,36,16,30,10,0.2,0.3,0.05477023124694824,1,0
363,36,48,40,10,0.2,0.3,0.5719542503356934,8,2
364,36,20,50,10,0.2,0.3,0.6536338329315186,4,1
365,36,252,60,10,0.2,0.3,0.6808784008026123,2,0
366,36,48,70,10,0.2,0.3,0.9904024600982666,2,0
367,36,40,80,10,0.2,0.3,6.151572227478027,12,0
368,36,40,90,10,0.2,0.3,1.6446819305419922,1,0
369,36,9,100,10,0.2,0.3,3.6341309547424316,3,0
370,37,2,10,10,0.2,0.3,0.004771232604980469,2,1
